price_date,symbol,company_name,open_price,close_price,high_price,low_price,volume
2025-11-10,TSLA,Tesla Inc.,439.6,445.23,449.67,433.36,76515907
2025-11-11,AAPL,Apple Inc.,269.81,275.25,275.91,269.8,46208318
2025-11-11,AMZN,Amazon.com Inc.,248.41,249.1,249.75,247.23,23564060
2025-11-11,GOOGL,Alphabet Inc.,287.75,291.31,291.92,287.32,19842136
2025-11-11,MSFT,Microsoft Corp.,504.8,508.68,509.6,502.35,17980020
2025-11-11,TSLA,Tesla Inc.,439.4,439.62,442.49,432.36,60533237
2025-11-12,AAPL,Apple Inc.,275.0,273.47,275.73,271.7,48397982
2025-11-12,AMZN,Amazon.com Inc.,250.24,244.2,250.37,243.75,31190063
2025-11-12,GOOGL,Alphabet Inc.,291.68,286.71,292.01,283.69,24829923
2025-11-12,MSFT,Microsoft Corp.,509.36,511.14,511.67,499.12,26574851
2025-11-12,TSLA,Tesla Inc.,442.15,430.6,442.33,426.56,58513520
2025-11-13,AAPL,Apple Inc.,274.11,272.95,276.7,272.09,49602794
2025-11-13,AMZN,Amazon.com Inc.,243.05,237.58,243.75,236.5,41401738
2025-11-13,GOOGL,Alphabet Inc.,282.34,278.57,282.84,277.24,29494040
2025-11-13,MSFT,Microsoft Corp.,510.31,503.29,513.5,501.29,25273114
2025-11-13,TSLA,Tesla Inc.,423.13,401.99,424.5,396.34,118948032
2025-11-14,AAPL,Apple Inc.,271.05,272.41,275.96,269.6,47431331
2025-11-14,AMZN,Amazon.com Inc.,235.06,234.69,238.73,232.89,38956669
2025-11-14,GOOGL,Alphabet Inc.,271.41,276.41,278.56,270.7,31647227
2025-11-14,MSFT,Microsoft Corp.,498.23,510.18,511.6,497.44,28505746
2025-11-14,TSLA,Tesla Inc.,386.3,404.35,412.19,382.78,105506682
2025-11-17,AAPL,Apple Inc.,268.82,267.46,270.49,265.73,45018260
2025-11-17,AMZN,Amazon.com Inc.,233.25,232.87,234.6,229.19,59919018
2025-11-17,GOOGL,Alphabet Inc.,285.78,285.02,293.95,283.57,52670192
2025-11-17,MSFT,Microsoft Corp.,508.45,507.49,512.12,504.91,19092752
2025-11-17,TSLA,Tesla Inc.,398.74,408.92,423.96,398.74,102214259
2025-11-18,AAPL,Apple Inc.,269.99,267.44,270.71,265.32,45677278
2025-11-18,AMZN,Amazon.com Inc.,228.1,222.55,230.2,222.42,60608442
2025-11-18,GOOGL,Alphabet Inc.,287.92,284.28,288.8,278.2,49158743
2025-11-18,MSFT,Microsoft Corp.,495.37,493.79,502.98,486.78,33815114
2025-11-18,TSLA,Tesla Inc.,405.38,401.25,408.9,393.71,80688637
2025-11-19,AAPL,Apple Inc.,265.53,268.56,272.21,265.5,40424492
2025-11-19,AMZN,Amazon.com Inc.,223.74,222.69,223.74,218.52,58335643
2025-11-19,GOOGL,Alphabet Inc.,287.16,292.81,303.81,286.63,68198944
2025-11-19,MSFT,Microsoft Corp.,490.1,487.12,495.19,482.83,23245314
2025-11-19,TSLA,Tesla Inc.,406.18,403.99,411.78,398.5,72047704
2025-11-20,AAPL,Apple Inc.,270.83,266.25,275.43,265.92,45823568
2025-11-20,AMZN,Amazon.com Inc.,227.05,217.14,227.41,216.74,50308962
2025-11-20,GOOGL,Alphabet Inc.,304.54,289.45,306.42,288.67,62025218
2025-11-20,MSFT,Microsoft Corp.,492.71,478.43,493.57,475.5,26802542
2025-11-20,TSLA,Tesla Inc.,414.63,395.23,428.94,394.74,113548827
2025-11-21,AAPL,Apple Inc.,265.95,271.49,273.33,265.67,59030832
2025-11-21,AMZN,Amazon.com Inc.,216.35,220.69,222.21,215.18,68490464
2025-11-21,GOOGL,Alphabet Inc.,296.42,299.66,303.92,293.85,74137697
2025-11-21,MSFT,Microsoft Corp.,478.5,472.12,478.92,468.27,31769248
2025-11-21,TSLA,Tesla Inc.,402.32,391.09,402.8,383.76,100460633
2025-11-24,AAPL,Apple Inc.,270.9,275.92,277.0,270.9,65585796
2025-11-24,AMZN,Amazon.com Inc.,222.56,226.28,227.33,222.27,54318395
2025-11-24,GOOGL,Alphabet Inc.,311.13,318.58,319.48,309.6,85165123
2025-11-24,MSFT,Microsoft Corp.,475.0,474.0,476.9,468.02,34421046
2025-11-24,TSLA,Tesla Inc.,402.17,417.78,421.72,401.09,96806374
2025-11-25,AAPL,Apple Inc.,275.27,276.97,280.38,275.25,46914220
2025-11-25,AMZN,Amazon.com Inc.,226.38,229.67,230.52,223.8,39379339
2025-11-25,GOOGL,Alphabet Inc.,326.21,323.44,328.83,317.65,88632074
2025-11-25,MSFT,Microsoft Corp.,474.07,476.99,479.15,464.89,28019793
2025-11-25,TSLA,Tesla Inc.,414.42,419.4,420.48,405.95,71915624
2025-11-26,AAPL,Apple Inc.,276.96,277.55,279.53,276.63,33431423
2025-11-26,AMZN,Amazon.com Inc.,230.74,229.16,231.75,228.77,38497922
2025-11-26,GOOGL,Alphabet Inc.,320.68,319.95,324.5,316.79,51373361
2025-11-26,MSFT,Microsoft Corp.,486.31,485.5,488.31,481.2,25709079
2025-11-26,TSLA,Tesla Inc.,423.95,426.58,426.94,416.89,63462996
2025-11-28,AAPL,Apple Inc.,277.26,278.85,279.0,275.99,20135620
2025-11-28,AMZN,Amazon.com Inc.,231.24,233.22,233.29,230.22,20292329
2025-11-28,GOOGL,Alphabet Inc.,323.37,320.18,326.85,316.79,26018568
2025-11-28,MSFT,Microsoft Corp.,487.6,492.01,492.63,486.65,14386730
2025-11-28,TSLA,Tesla Inc.,426.59,430.17,432.93,426.2,36252861
2025-12-01,AAPL,Apple Inc.,278.01,283.1,283.42,276.14,46587722
2025-12-01,AMZN,Amazon.com Inc.,233.22,233.88,235.8,232.25,42903954
2025-12-01,GOOGL,Alphabet Inc.,317.7,314.89,319.85,313.89,41182956
2025-12-01,MSFT,Microsoft Corp.,488.44,486.74,489.86,484.65,23963993
2025-12-01,TSLA,Tesla Inc.,425.32,430.14,433.66,425.29,57463552
2025-12-02,AAPL,Apple Inc.,283.0,286.19,287.4,282.63,53669532
2025-12-02,AMZN,Amazon.com Inc.,235.01,234.42,238.97,233.55,45785363
